Zip Code,State,Population,White,Black,AI,Asian,NHOPI,Other,Mixed,Hispanic
01001,MA,"16,769",93.7,1.9,0.2,2.1,0.0,0.8,1.4,3.3
01002,MA,"10,591",80.4,5.0,0.3,8.2,0.0,2.1,4.0,7.7
01002,MA,"4,921",73.8,4.0,0.2,16.4,0.2,1.5,3.8,5.5
01002,MA,"4,994",69.2,8.0,0.6,12.0,0.0,4.6,5.7,12.1
01002,MA,"8,543",81.8,3.7,0.2,8.2,0.0,2.4,3.7,6.9
01003,MA,"8,474",77.1,6.2,0.1,11.2,0.0,1.8,3.6,5.1
01003,MA,"1,898",76.2,5.6,0.2,12.9,0.0,1.7,3.4,5.2
01005,MA,"1,009",97.5,0.6,0.4,0.3,0.0,0.3,0.9,1.0
01005,MA,"4,070",96.0,1.3,0.1,0.6,0.0,0.4,1.5,1.9
01007,MA,"2,899",91.0,1.8,0.1,2.7,0.1,1.7,2.6,4.5
01007,MA,"11,750",94.5,1.3,0.1,1.9,0.0,0.6,1.6,2.2
01008,MA,393,98.0,0.0,0.5,0.5,0.0,0.5,0.5,1.3
01008,MA,870,98.6,0.5,0.0,0.2,0.0,0.0,0.7,1.4
01009,MA,741,96.1,0.5,0.1,0.4,0.0,1.6,1.2,2.0
01010,MA,"3,609",96.8,0.8,0.3,0.5,0.1,0.1,1.6,2.2
01011,MA,627,99.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1
01011,MA,743,97.4,0.0,0.0,1.5,0.0,0.0,1.1,0.8
01012,MA,661,97.4,0.3,0.1,0.8,0.0,0.1,1.2,1.5
01013,MA,"23,188",83.5,4.2,0.5,1.1,0.1,8.0,2.8,22.0
01020,MA,"29,659",90.0,2.6,0.2,1.5,0.1,3.7,1.9,9.5
01022,MA,"2,451",79.2,12.9,0.5,1.4,0.1,3.5,2.4,10.9
01026,MA,946,97.9,0.3,0.0,0.2,0.0,0.6,0.9,1.5
01027,MA,"16,053",93.6,1.1,0.2,2.4,0.0,1.1,1.6,3.7
